학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3120-01-00   ,3,투자론 ,,,,,구본일,"화2,3/목1",경영101/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3120-02-00   ,3,투자론 ,,,,,한재훈,"월8,9,10",경영B101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3125-01-00   ,3,보험경영론 ,,,,,김정동,"월1,2,수2",경영101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3125-02-00   ,3,보험경영론 ,,,,,김정동,"월5,6,수6",경영101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3126-01-00   ,3,소비자행동론 ,,,,,"박세범,정난희","월3,4,수4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3126-02-00   ,3,소비자행동론 ,,,,,김병규,"월1,2,수2",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒝",X
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3134-01-00   ,3,국제경영론 ,,,,,최순규,"월3,4/수4",경영101/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16①②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3134-02-00   ,3,국제경영론 ,,,,,박용석,"월3,4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3134-03-00   ,3,국제경영론 ,,,,,곽주영,"화2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑦⒝",O
경영대학,경영학전공,,,,"3,4",전선,3000,BIZ3134-04-00   ,3,국제경영론 ,,,,,최순규,"월7,8/수8",경영101/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⑫⒝",O
