학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
문과대학,심리학전공,,,,3,전선,3000,PSY3168-01-00   ,3,인지와정서조절 ,,,,,허주연,"화3,4/수5",실시간온라인/위B09,"javascript:OpenList5(""H1"",""20202"",""0142"");, ②⒝",O
문과대학,심리학전공,,,,3,전선,4000,PSY4121-01-00   ,3,성격심리학 ,,,,,서은국,"목8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0142"");, 20⒝",O
문과대학,심리학전공,,,,3,전선,4000,PSY4127-01-00   ,3,인지발달 ,,,,,송현주,"월3,4/수3",실시간온라인/외110,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⒝",O
문과대학,심리학전공,,,,"3,4",전선,4000,PSY4141-01-00   ,3,재능과기술의심리학 ,,,,,"손영우,강윤진","수5/금5,6",위409/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⑤⒝",O
문과대학,심리학전공,,,,4,전선,4000,PSY4132-01-00   ,1,심리학연구실습(1) ,,,,,한상훈,월10,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0142"");, 17⒝",O
문과대학,심리학전공,,,,4,전선,4000,PSY4130-01-00   ,3,사회정서신경과학 ,,,,,이도준,"화5,6",위202,"javascript:OpenList5(""H1"",""20202"",""0142"");, ⓓ⒝",O
문과대학,중어중문학전공,,,,1,전필,2000,CLL2101-01-00   ,3,중국어학입문 ,,,,,진화진,"수5/금5,6",실시간온라인/교306,"javascript:OpenList5(""H1"",""20202"",""0102"");, ⒝",O
문과대학,중어중문학전공,,,,1,전필,2000,CLL2101-02-00   ,3,중국어학입문 ,,,,,"김현철,진화진,송화영",화8/화8,동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0102"");, ⓒ①⒝",O
문과대학,중어중문학전공,,,,2,전선,2000,CLL2002-01-00   ,1,UT세미나(현대중국과중국문화탐색) ,,,,,이석구,금2,위209,"javascript:OpenList5(""H1"",""20202"",""0102"");, ⒞",O
문과대학,중어중문학전공,,,,2,전선,2000,CLL2306-01-00   ,3,전공중국어연습(2) ,,,,,신혜인,"화1,2,목1(목2)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0102"");, ⓐ⒝",O
문과대학,중어중문학전공,,,,2,전선,2000,CLL2401-01-00   ,3,역대산문선독 ,,,,,이주해,"수5/금5,6",동영상콘텐츠/위209,"javascript:OpenList5(""H1"",""20202"",""0102"");, ①⒝",O
문과대학,중어중문학전공,,,,2,전선,2000,CLL2603-01-00   ,3,중국신화의이해 ,,,,,"홍윤희,송동령","화6/목5,6",실시간온라인/위209,"javascript:OpenList5(""H1"",""20202"",""0102"");, ⒝",O
문과대학,중어중문학전공,,,,2,전선,3000,CLL3302-01-00   ,3,중급중국어말하기 ,,,,,김춘희,"월1,2,수1",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0102"");, ⓐ⒝",O
